pid,marque_cpu,modele_cpu,marque_gpu,modele_gpu,type_stockage,capacite_stockage,type_ram,ram,os
1,acer,aspire5551,evga,rtx2060KO,hdd,2000,ddr,4,windows
 2,intel,pentium,asus,dual,ssd,512,sram,1,debian
 3,nxp,cortexM7,asus,strix,sshd,256,dram,16,ubuntu
 4,acer,xeonE5620,gigabyte,AoriusXTREME,sshd,256,ddr,8,windows
 5,atmel,megaAVR,evga,rtx3080XC3,ssd,128,ddr,8,linux
 6,acer,aspire5551,gigabyte,AoriusMaster,hdd,1000,ecc,32,ubuntu
 7,vissonic,vx-9,gigabyte,AoriusMaster,sshd,2000,ecc,2,macOS
 8,amd,Opteron,sapphire,Pulse,sshd,1000,dram,32,windows
 9,barco,cx-30,zotac,GeForceGTX10,ssd,1000,dram,8,windows
 10,amd,Phenom,zotac,GeForceGTX10,hdd,256,ddr,2,debian
 11,barco,cx-20,gigabyte,AoriusMaster,sshd,128,dram,16,windows
 12,intel,i7,asus,turbo,sshd,2000,sram,4,linux
 13,atmel,megaAVR,pny,GeForceXLR8,hdd,512,ecc,2,linux
 14,intel,i3,sapphire,Pulse,hdd,2000,ddr,16,linux
 15,nxp,cortexM7,pny,RTX-3060,hdd,256,dram,8,windows
 16,nxp,imx8M,asus,dual,ssd,1000,dram,2,linux
 17,amd,Amd-k6,asus,turbo,ssd,512,sram,16,windows
 18,nxp,imx8M,asus,matrix,hdd,2000,sram,2,ubuntu
 19,intel,i7,pny,RTX-3060,sshd,256,ecc,4,macOS
 20,nxp,cortexM7,zotac,GeForceGTX10,sshd,128,dram,16,macOS
 21,nxp,imx8M,evga,rtx3080FTW3,sshd,512,dram,16,linux
 22,vissonic,vx-9,pny,GeForceXLR8,hdd,256,ddr,32,windows
 23,atmel,XMEGA-E,pny,GeForceBlower,hdd,1000,ddr,2,windows
 24,amd,Opteron,gigabyte,AoriusMaster,hdd,2000,dram,2,macOS
 25,nxp,cortexM7,pny,GeForceXLR8,ssd,256,ddr,8,linux
 26,nxp,cortexM7,sapphire,Toxic,ssd,1000,ddr,4,windows
 27,atmel,AVR-DX,gigabyte,AoriusMaster,sshd,1000,dram,1,windows
 28,vissonic,v-digital,evga,rtx2080FTW3,ssd,2000,ddr,32,debian
 29,amd,Phenom,sapphire,Pulse,hdd,1000,ddr,8,windows
 30,intel,i9,sapphire,Nitro,sshd,512,ddr,8,macOS
 31,acer,xeonE5620,asus,strix,sshd,1000,ddr,4,debian
 32,intel,i5,pny,RTX-3060,ssd,512,dram,16,macOS
 33,intel,i7,pny,GeForceBlower,hdd,512,ecc,4,macOS
 34,barco,cse-200,pny,GTX-3060,hdd,2000,sram,1,windows
 35,vissonic,vx-9,pny,RTX-3060,sshd,2000,dram,8,debian
 36,atmel,AVR-DX,sapphire,Toxic,hdd,2000,ecc,1,ubuntu
 37,barco,cx-20,zotac,GeForceGTX10,hdd,256,ddr,2,windows
 38,amd,Phenom,zotac,GeForceGTX10,hdd,2000,dram,32,macOS
 39,barco,cse-200,zotac,GeForceGTX10,sshd,1000,ddr,32,macOS
 40,intel,i3,asus,matrix,hdd,1000,ddr,2,windows
 41,atmel,megaAVR,evga,rtx2080FTW3,ssd,128,ecc,2,windows
 42,intel,i9,asus,poseidon,ssd,1000,ecc,8,linux
 43,amd,Amd-k6,zotac,GeForceGTX10,sshd,512,ddr,2,linux
 44,vissonic,v-digital,sapphire,LegacyHD05,ssd,256,sram,16,windows
 45,atmel,XMEGA,sapphire,LegacyHD05,hdd,2000,ddr,1,ubuntu
 46,acer,aspire5551,evga,rtx2060KO,hdd,1000,ddr,2,debian
 47,atmel,XMEGA,pny,RTX-3080,hdd,128,dram,2,ubuntu
 48,nxp,cortexM7,pny,GTX-3060,sshd,128,ecc,8,linux
 49,vissonic,vx-9,asus,matrix,ssd,128,sram,4,debian
 50,nxp,imx8M,gigabyte,AoriusMaster,hdd,1000,ddr,8,windows
 51,amd,Amd-k6,evga,rtx3080FTW3,ssd,512,ecc,32,windows
 52,intel,i7,evga,rtx3080FTW3,sshd,2000,ddr,4,ubuntu
 53,acer,xeonE5620,sapphire,Nitro,sshd,2000,ddr,4,macOS
 54,vissonic,v-digital,pny,GeForceXLR8,ssd,512,dram,2,debian
 55,barco,cse-200,asus,dual,ssd,512,ddr,1,macOS
 56,amd,Amd-k6,sapphire,Toxic,ssd,2000,ddr,32,macOS
 57,amd,Sempron,evga,rtx3090XC3,hdd,128,ecc,16,debian
 58,intel,i5,gigabyte,AoriusXTREME,ssd,256,dram,2,debian
 59,nxp,imx8M,gigabyte,AoriusXTREME,hdd,1000,ddr,32,macOS
 60,vissonic,vx-9,asus,poseidon,ssd,512,sram,32,macOS
 61,intel,celeron,pny,GTX-3080,ssd,128,sram,2,ubuntu
 62,acer,xeonE5620,pny,GTX-3060,hdd,512,ddr,2,macOS
 63,vissonic,v-digital,asus,strix,hdd,512,sram,1,ubuntu
 64,intel,i7,zotac,GeForceGTX20,hdd,256,ecc,4,linux
 65,atmel,XMEGA,gigabyte,AoriusMaster,sshd,256,ddr,32,windows
 66,nxp,cortexM7,sapphire,Nitro,hdd,2000,sram,2,windows
 67,acer,aspire5551,gigabyte,AoriusXTREME,ssd,256,ecc,8,debian
 68,intel,i5,asus,turbo,hdd,256,ddr,8,debian
 69,amd,Athlon-64,gigabyte,AoriusRadeon,hdd,256,sram,2,linux
 70,atmel,XMEGA,asus,dualmini,hdd,512,dram,4,ubuntu
 71,vissonic,vx-9,pny,GeForceXLR8,sshd,512,ddr,4,ubuntu
 72,vissonic,v-digital,evga,rtx3090XC3,hdd,1000,ecc,1,macOS
 73,acer,xeonE5620,evga,rtx2060KO,ssd,256,sram,8,windows
 74,acer,xeonE5620,zotac,GeForceGTX30,ssd,2000,sram,1,ubuntu
 75,amd,Am286,pny,GeForceUprising,hdd,1000,ecc,2,ubuntu
 76,barco,cx-20,sapphire,Nitro,ssd,128,ddr,2,ubuntu
 77,atmel,Athlon,gigabyte,AoriusRadeon,ssd,512,dram,4,linux
 78,atmel,XMEGA-E,evga,rtx2060KO,hdd,2000,ddr,8,debian
 79,barco,cx-30,gigabyte,AoriusMaster,sshd,256,sram,32,ubuntu
 80,vissonic,vx-9,sapphire,Pulse,sshd,2000,ddr,2,ubuntu
 81,acer,xeonE5620,pny,GeForceXLR8,hdd,128,sram,4,macOS
 82,vissonic,v-digital,pny,GeForceUprising,hdd,512,dram,4,macOS
 83,vissonic,vx-9,asus,matrix,ssd,2000,sram,32,debian
 84,intel,i5,evga,rtx3090XC3,hdd,256,ecc,32,ubuntu
 85,acer,xeonE5620,sapphire,Nitro,sshd,1000,ecc,32,ubuntu
 86,acer,aspire5551,gigabyte,AoriusXTREME,hdd,256,ddr,32,linux
 87,intel,i7,sapphire,Nitro,ssd,2000,sram,16,debian
