pid,nom_prod,prix,quantite_disp,,disponibilite,marque,poids,couleur,garantie
1,PC Portable Asus S515DA-BQ3563T,1836,6,2021-10-13,Bientôt Disponible,asus,3,bleu,false
 2,PC Portable Gaming Dell G3,454,51,,Disponible,dell,3,noir,false
 3,PC Portable Gaming Dell G5,2376,98,2021-10-22,Non Disponible,dell,1,orange,false
 4,PC portable Msi Modern A10M-635FR,813,149,,Disponible,msi,3,orange,false
 5,PC Portable Huawei MateBook D15,594,0,,Disponible,huawei,3,bleu,false
 6,PC Portable Gaming MSI GE66 Raider,525,13,,Disponible,msi,5,orange,false
 7,PC Portable Huawei MateBook D16,855,168,,Disponible,huawei,2,bleu,true
 8,Apple MacBook Air,2957,37,,Disponible,apple,3,blanc,true
 9,PC Portable Huawei MateBook D19,621,157,2021-06-22,Non Disponible,huawei,4,bleu,true
 10,PC Ultra-Portable Lenovo Yoga SLim7 14ARE05,1970,105,,Disponible,lenovo,3,rouge,false
 11,PC Portable Toshiba Satellite C55-C-125,1244,200,,Disponible,toshiba,4,rouge,false
 12,PC Portable Lenovo IdeaPad 3 15ADA05,757,200,,Disponible,lenovo,2,noir,false
 13,PC Portable Huawei MateBook X15,876,0,,Disponible,huawei,4,bleu,false
 14,PC Portable Lenovo Legion 5 15ACH6H,479,57,,Disponible,lenovo,5,orange,false
 15,PC Ultra-Portable Asus S413JA-EB517T,626,134,,Disponible,asus,1,bleu,true
 16,PC Portable Dynabook Toshiba A30-E-15V,2386,169,,Disponible,toshiba,2,or,false
 17,PC Portable HP Pavilion 15-eg0067nf,307,84,,Disponible,hp,1,noir,false
 18,PC Ultra-Portable HP Spectre,1307,12,,Disponible,hp,3,noir,true
 19,PC Portable Huawei XHD77,2423,0,,Disponible,huawei,2,bleu,true
 20,Apple MacBook Pro,1801,72,,Disponible,apple,5,rouge,true
 21,PC Portable Lenovo IdeaPad 15ADA05,1577,128,,Disponible,lenovo,1,or,true
 22,PC Ultra-Portable Acer Aspire 1 A114-32-C0QW,1659,116,,Disponible,acer,4,blanc,false
 23,Chromebook Asus C433TA-AJ0035,1042,0,,Disponible,asus,1,blanc,false
 24,Apple MacBook Pro,2669,25,,Disponible,apple,1,blanc,false
 25,PC Portable Acer Chromebook Spin,1924,29,,Disponible,acer,3,rose,true
 26,PC Portable Asus S515DA-BQ34199T,423,21,2021-06-09,Bientôt Disponible,asus,3,orange,true
