aid,cid,pid,note,avis,date_publi
1,185,1,2,Qualité et durée de vie médiocre,2015-09-09
 2,170,2,1.5,Livraison Exemplaire,2017-02-01
 3,200,3,4.75,Excellent Produit,2018-10-05
 4,90,4,1.5,Qualité et durée de vie médiocre,2020-08-29
 5,139,5,4.5,Très satisfait de cet achat,2016-11-23
 6,42,6,1.25,Rapport qualité prix satisfaisante,2014-12-03
 7,110,7,4.25,Qualité et durée de vie médiocre,2018-12-17
 8,99,8,4,Article super,2017-04-10
 9,159,9,4.25,Excellent Produit,2014-03-10
 10,33,10,4,Article super,2016-07-04
 11,140,11,0.5,Article super,2015-01-05
 12,124,12,1,Qualité et durée de vie médiocre,2015-05-27
 13,174,13,1.25,Très satisfait de cet achat,2020-03-21
 14,98,14,0.75,Suivi déplorable,2019-04-06
 15,41,15,4,Très satisfait de cet achat,2015-05-24
 16,98,16,0.5,Suivi déplorable,2015-12-26
 17,172,17,4,Excellent Produit,2015-01-12
 18,87,18,2,Excellent Produit,2016-08-04
 19,160,19,2,Suivi déplorable,2013-06-17
 20,143,20,4.75,Excellent Produit,2019-10-11
 21,104,21,4.5,Excellent Produit,2019-12-15
 22,177,22,0.25,Excellent Produit,2018-06-12
 23,60,23,2.5,Rapport qualité prix satisfaisante,2020-05-05
 24,89,24,2,Excellent Produit,2014-04-10
 25,124,25,0.75,Qualité et durée de vie médiocre,2016-12-23
 26,197,26,0.25,Suivi déplorable,2015-03-21
 27,170,27,1.25,Livraison Exemplaire,2020-12-05
 28,7,28,2,Suivi déplorable,2017-12-09
 29,58,29,2,Suivi déplorable,2013-11-20
 30,30,30,4.5,Excellent Produit,2020-08-23
 31,23,31,5,Livraison Exemplaire,2019-07-13
 32,59,32,1.5,Livraison Exemplaire,2013-06-01
 33,157,33,0.5,Qualité et durée de vie médiocre,2013-09-18
 34,126,34,2.5,Très satisfait de cet achat,2016-11-11
 35,83,35,4.75,Rapport qualité prix satisfaisante,2020-08-26
 36,58,36,0.75,Article super,2015-05-13
 37,120,37,4.5,Très satisfait de cet achat,2016-08-22
 38,66,38,0.5,Très satisfait de cet achat,2015-07-28
 39,113,39,2.5,Très satisfait de cet achat,2018-07-17
 40,194,40,4.25,Article super,2017-03-05
 41,181,41,4,Très satisfait de cet achat,2017-10-12
 42,55,42,5,Suivi déplorable,2017-06-30
 43,146,43,4.5,Qualité et durée de vie médiocre,2015-05-15
 44,119,44,1.25,Rapport qualité prix satisfaisante,2020-09-13
 45,71,45,2.5,Très satisfait de cet achat,2017-11-15
 46,91,46,4.5,Livraison Exemplaire,2020-03-01
 47,52,47,1,Qualité et durée de vie médiocre,2020-08-06
 48,177,48,5,Livraison Exemplaire,2016-07-09
 49,89,49,1,Article super,2013-08-19
 50,119,50,1.5,Rapport qualité prix satisfaisante,2020-10-26
 51,12,51,4.5,Très satisfait de cet achat,2017-04-14
 52,42,52,0.5,Excellent Produit,2017-04-21
 53,164,53,4.25,Livraison Exemplaire,2021-02-11
 54,36,54,3.75,Livraison Exemplaire,2014-09-06
 55,187,55,0.75,Très satisfait de cet achat,2015-02-13
 56,18,56,5,Livraison Exemplaire,2013-11-05
 57,82,57,0.25,Très satisfait de cet achat,2014-11-28
 58,173,58,0.25,Qualité et durée de vie médiocre,2015-12-25
 59,13,59,0.75,Très satisfait de cet achat,2017-04-02
 60,40,60,4.25,Livraison Exemplaire,2014-07-30
 61,155,61,1.25,Livraison Exemplaire,2017-09-02
 62,6,62,0.5,Qualité et durée de vie médiocre,2014-08-05
 63,131,63,0.5,Très satisfait de cet achat,2016-04-18
 64,91,64,5,Article super,2017-04-02
 65,68,65,3.75,Article super,2017-02-27
 66,81,66,2,Excellent Produit,2019-06-13
 67,104,67,0.75,Suivi déplorable,2015-11-02
 68,90,68,3.75,Excellent Produit,2013-11-19
 69,80,69,0.75,Rapport qualité prix satisfaisante,2020-04-24
 70,154,70,2.5,Suivi déplorable,2017-10-20
 71,196,71,0.75,Livraison Exemplaire,2013-06-10
 72,77,72,2.5,Livraison Exemplaire,2016-04-18
 73,149,73,0.5,Très satisfait de cet achat,2016-11-12
 74,67,74,4.5,Article super,2017-06-26
 75,185,75,4,Suivi déplorable,2015-08-27
 76,137,76,1,Excellent Produit,2020-02-13
 77,45,77,0.5,Livraison Exemplaire,2020-11-02
 78,126,78,4.25,Suivi déplorable,2017-05-03
 79,169,79,1.25,Rapport qualité prix satisfaisante,2014-05-15
 80,178,80,4,Qualité et durée de vie médiocre,2016-10-05
 81,95,81,4.5,Rapport qualité prix satisfaisante,2015-05-24
 82,82,82,5,Livraison Exemplaire,2015-06-07
 83,200,83,5,Article super,2014-09-29
 84,144,84,4.5,Excellent Produit,2015-04-04
 85,192,85,1,Rapport qualité prix satisfaisante,2019-11-21
 86,106,86,4.5,Très satisfait de cet achat,2015-10-30
 87,115,87,0.75,Suivi déplorable,2015-06-30
 88,10,88,4.75,Rapport qualité prix satisfaisante,2017-10-30
 89,21,89,4.25,Rapport qualité prix satisfaisante,2014-10-14
 90,102,90,1.5,Qualité et durée de vie médiocre,2017-10-26
 91,185,91,4.75,Livraison Exemplaire,2019-11-01
 92,190,92,0.5,Très satisfait de cet achat,2014-01-17
 93,199,93,4.25,Suivi déplorable,2013-11-28
 94,86,94,5,Suivi déplorable,2016-12-04
 95,200,95,0.75,Très satisfait de cet achat,2015-05-10
 96,72,96,3.75,Qualité et durée de vie médiocre,2020-07-30
 97,29,97,4.5,Excellent Produit,2013-11-16
 98,37,98,0.25,Excellent Produit,2016-04-09
 99,30,99,3.75,Qualité et durée de vie médiocre,2020-11-12
 100,79,100,0.5,Rapport qualité prix satisfaisante,2013-08-20
101,131,101,4,Suivi déplorable,2015-03-15
 102,108,102,2,Article super,2018-12-20
 103,3,103,5,Livraison Exemplaire,2016-09-16
 104,20,104,4.75,Suivi déplorable,2014-11-19
 105,125,105,2,Excellent Produit,2020-01-24
 106,148,106,0.25,Excellent Produit,2018-07-04
